time,mastery,performance,hollow_gap
162,0.0,0.9,0.9
163,0.0,0.9,0.9
164,0.0,0.9,0.9
165,0.0,0.9,0.9
166,0.0,0.9,0.9
167,0.0,0.9,0.9
168,0.0,0.9,0.9
169,0.0,0.9,0.9
170,0.0,0.9,0.9
171,0.0,0.9,0.9
172,0.0,0.9,0.9
173,0.0,0.9,0.9
174,0.0,0.9,0.9
175,0.0,0.9,0.9
176,0.0,0.9,0.9
177,0.0,0.9,0.9
178,0.0,0.9,0.9
179,0.0,0.9,0.9
180,0.0,0.9,0.9
181,0.0,0.9,0.9
182,0.0,0.9,0.9
183,0.0,0.9,0.9
184,0.0,0.9,0.9
185,0.0,0.9,0.9
186,0.0,0.9,0.9
187,0.0,0.9,0.9
188,0.0,0.9,0.9
189,0.0,0.9,0.9
190,0.0,0.9,0.9
191,0.0,0.9,0.9
192,0.0,0.9,0.9
193,0.0,0.9,0.9
194,0.0,0.9,0.9
195,0.0,0.9,0.9
196,0.0,0.9,0.9
197,0.0,0.9,0.9
198,0.0,0.9,0.9
199,0.0,0.9,0.9
200,0.0,0.9,0.9
201,0.0,0.9,0.9
202,0.0,0.9,0.9
203,0.0,0.9,0.9
204,0.0,0.9,0.9
205,0.0,0.9,0.9
206,0.0,0.9,0.9
207,0.0,0.9,0.9
208,0.0,0.9,0.9
209,0.0,0.9,0.9
210,0.0,0.9,0.9
211,0.0,0.9,0.9
212,0.0,0.9,0.9
213,0.0,0.9,0.9
214,0.0,0.9,0.9
215,0.0,0.9,0.9
216,0.0,0.9,0.9
217,0.0,0.9,0.9
218,0.0,0.9,0.9
219,0.0,0.9,0.9
